number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
0,955.172586825265,2026-05-24 16:10:08.250134,2026-05-24 16:10:19.898979,0 days 00:00:11.648845,0.15158586961309908,15.968621544652045,7998,0.07722469832919382,0.8935830794872784,0.923754519420751,0.7395305156069609,1.2217819420194558,859,COMPLETE
1,853.3835140142672,2026-05-24 16:10:08.252014,2026-05-24 16:10:16.552743,0 days 00:00:08.300729,0.06575756547584848,10.988070799307522,14771,0.07526382792229577,0.768671812733504,0.9567018019372706,0.8435318506041765,0.6169392619271739,303,COMPLETE
2,938.1121678375619,2026-05-24 16:10:08.252428,2026-05-24 16:10:24.062968,0 days 00:00:15.810540,0.12274950075868461,29.016325300056817,8169,0.09723583045676944,0.8752887699196329,0.9127487565413438,0.5876546598844279,0.8692315025920327,394,COMPLETE
3,1030.56002663117,2026-05-24 16:10:08.252641,2026-05-24 16:10:29.866051,0 days 00:00:21.613410,0.2122525578251266,17.64714089059216,13765,0.07186228383890593,0.9279028499261992,0.8712140310213488,0.8798418650482092,0.830759010982399,851,COMPLETE
4,1066.5479998394928,2026-05-24 16:10:17.262899,2026-05-24 16:10:31.684081,0 days 00:00:14.421182,0.2331861483704572,24.160325688081183,9537,0.09148241650359662,0.9691419034679913,0.8495516626772285,0.6206215142531128,1.3214699305346507,694,COMPLETE
5,947.4168158012516,2026-05-24 16:10:20.221440,2026-05-24 16:10:34.162872,0 days 00:00:13.941432,0.2587395824846026,16.09509262711322,12948,0.05190038005987936,0.8655026258480712,0.9337197291184066,0.7129139175758812,0.7856726193016257,614,COMPLETE
6,1057.1323899564818,2026-05-24 16:10:25.446053,2026-05-24 16:10:34.885740,0 days 00:00:09.439687,0.09820603650704868,20.685638055083583,16472,0.050914603435813284,0.9393073274225279,0.9168251840381485,0.683256373186819,1.2265862988028766,790,COMPLETE
7,1086.0410661802362,2026-05-24 16:10:30.961762,2026-05-24 16:10:40.114862,0 days 00:00:09.153100,0.04901115485128004,27.87729615295642,8352,0.02921090458259561,0.9996199049725303,0.9457865271325295,0.8191667234753327,1.749701325772529,705,COMPLETE
8,970.80330983835,2026-05-24 16:10:32.039686,2026-05-24 16:10:47.025024,0 days 00:00:14.985338,0.023690353730631955,26.775794855395752,8181,0.06345835136825073,0.9085059025844043,0.9007246253700376,0.606543634215955,0.3524974836792348,517,COMPLETE
9,953.6623725020141,2026-05-24 16:10:35.577733,2026-05-24 16:10:45.300641,0 days 00:00:09.722908,0.04073881351907666,21.731921046211188,18289,0.055982231136145755,0.8616269430345521,0.8705851079382532,0.6670689216336061,1.4081654545896078,683,COMPLETE
